"property_id","price","bed_count","bath_count","type","sqft","parking_type","build_year","address","city","zipcode","photo_count","video_count","description"
"11","949000","3","2","Condo","2608","Parking garage","1990","382 S 17th St","San Jose","95112","0","0","Set on a lush lot on a cul-de-sac in historic Naglee Park, this private, creekside oasis is ready for you to call it home! Built in 1991 with only one owner, the newly renovated, two-story home features 4 bedrooms, 3 bathrooms, upstairs laundry, formal dining room, living room, family room and a spacious kitchen. There is room for everyone in this home! The kitchen has been fully updated with new appliances, counters, backsplash & refinished flooring, creating an open heart of the house ready for entertaining. New hardwood floors have been installed throughout the entire main level, with new carpeting upstairs. Fresh paint & new lighting fixtures throughout the home reflect today's contemporary styles. The roughly 30k sf lot gives a sense of being away from it all, while still being close to all San Jose has to offer. Centrally located to 280 and 101, this property is just around the corner William St Park, a few blocks from SJSU and close to San Pedro Square."
"12","1203000","3","3","Townhouse","2300","Parking garage","1991","52 S 11th St","San Jose","95112","0","0","Wonderful, chic condo in the heart of Downtown San Jose. This is a fantastic 1-bedroom, 1-bath condo with a spacious outdoor patio. Floorplan includes living room, dining area, and kitchen. Beautiful hardwood floors in living area. Kitchen with stainless steel appliances. Bedroom features a spacious walk-in closet and baclony off the bedroom. One of the best features of this home is the outdoor patio where you can enjoy your morning coffee, have a glass of wine, entertain, or work from home. Bonus storage. Centrally located in Downtown San Jose walking distance to San Pedro Square, SAP Center, restaurants, entertainment and more! Easy access to Highway 87, 101, and 880. This is the perfect home for a first-time homebuyer or a busy working professional. Close to the proposed Google Village!"
"13","478000","1","1","Condo","667","Parking garage","1992","1060 S 3rd St","San Jose","95112","0","0","Gorgeous Upgraded Brand New Manufactured Home"
"14","650000","3","2","Condo","1456","On-street","1993","900 Golden Wheel Park Dr","San Jose","95112","0","0","This is an original one owner Mid-Century Beauty, Ranch Style, Single Family Residence meticulously maintained with a beautifully landscaped front yard. This home has 3 Bedrooms, 2 Full Bathrooms, (1Master Bedroom and Master Bathroom, the other 2 bedrooms are exceptionally large). 1,374 Sq ft living space, sits on a 5,426 Sq Ft Lot. Newly painted interior, All-New Contemporary Light Fixtures, Updated Kitchen, with Beautiful Granite Counter Tops with New Light Fixtures and sparkling hardwood floors throughout. The dining room area has a separate A/C wall unit, Large Family Room with a cozy fireplace which is great for family and guest gatherings. Abundant storage space in this Large 2-car garage. Enjoy the large patio awning, which is great for BBQs in the backyard or, for just relaxing after a long day! Many amenities close by such as Japan town, Downtown San Jose, Watson Park, a variety of restaurants, and much more. Conveniently located with EZ Access to Hwy 101 and 880."
"15","1599990","4","3","House","1950","Carport","1994","2304 Richland Ave","San Jose","95125","3","0","One of Willow Glen's most desirable streets, Willow Glen Way is the name sake of this special community. Featuring 3 Bedrooms, 2 Baths, Master Suite, Walk-in closet 1400 sq. ft. 8500 sq. ft. lot., Refinished hardwood floors. Remodeled gourmet kitchen, Remodeled baths. Huge backyard for Entertaining, Play, Gardening or Relaxing. Lots of room for storage. Close to Downtown Willow Glen's Famous Lincoln Avenue for Dining, Entertainment and Shopping. Close to Schools and Parks, Easy access to 87/280/17 and public transportation. Come see this beautifully maintained home before it is GONE!!"
"16","1188000","4","3","House","2194","Carport","1995","945 Desmet Dr","San Jose","95125","3","0","New Construction! - Luxurious, Contemporary 4,552 SF home, 5 bedrooms, 5 bathrooms in Willow Glen! This home offers privacy, elegance. Custom Doors, open floor plan and more! Gourmet chef's kitchen featuring quartz counters, custom cabinetry throughout, designer tile backsplash, Bertazzoni SS appliances,butler's pantry,oversized walk-in pantry room, two wine/beverage refrigerators, spacious kitchen center island opening to a cozy Family Room with fireplace, leading to a delightful private backyard with new landscaping, stamped concrete patio and professional lighting perfect for outdoor entertaining. Two Master Suites on 1st and 2nd floor with walk in closets, with built-in organizers and shelving.  Master Bathrooms with oversized showers custom tile finishes. Additional Large downstairs Basement w/separate entry, possible uses,2nd Family room, media room, in-law, full bathroom, 2 closets, laundry room & kitchenette. Detached oversized garage with long driveway w/automatic gate..."
"17","1399000","5","4","House","2553","Carport","1996","1333 Spencer Ave","San Jose","95125","3","0","New, beautiful Custom-Built home in Willow Glen.    Home includes custom cabinets, ornamental iron railings, gorgeous floors, and stone throughout the home.  Gourmet kitchen, with Bertazzoni SS appliances, granite counter tops throughout. 5 Bedrooms, two of which are fabulous Master Suites with large walk-in closets, 4 Luxurious Bathrooms, Formal Dining Room, Living Room with fireplace. Double tankless water heater, high efficiency furnace, 2-Zones, dual pane windows, solar panels. Cat5 and coaxial cable throughout the house. Cozy Family Room w/double patio doors leads to a private, elegant backyard and patio area..do not miss this one!"
"18","1150000","3","4","House","1050","Carport","1997","1400 Brookdale Dr","San Jose","95125","4","0","Rare opportunity to own a home on the coveted Willow Glen! Enjoy Block Parties, Holiday celebrations, Christmas Caroling, all while just blocks from Downtown. This charming home boasts a large corner lot with ample space for parking or expansion. This property is exploding with character and ready for someone else to call it home!"
"19","1595000","4","3","House","3348","Parking garage","1998","449 Coe Ave","San Jose","95125","4","0","Less than a mile away from Google Village of San Jose, This recently renovated Spanish style, Willow Glen home has charm and character with features such as recessed lighting, large luxury baseboards, oversized window and doorway trim and double pane windows. The kitchen comprises of modern shaker style kitchen cabinets, quartz countertops, stainless steel appliances and luxurious tile backsplash and the bathrooms that feature large high quality tiles, from the ground up. A recently paved backyard offers you a blank canvas for you to enjoy as-is or develop to your desire. This home is walking distance to downtown Willow Glen, you'll have easy access to the highly sought out coziness feeling that Willow Glen has to offer, along with those mom and pop retail shops, a kid friendly community and that small-town feeling that cannot be emulated in any other part of San Jose. Don't miss out on this opportunity to own a piece of Willow Glen, San Jose!"
"20","1548000","4","3","House","1843","Carport","2002","2303 Booksin Ave","San Jose","95125","2","0","Coveted Willow Glen Location,Custom Built in 2002,Modern Updates&High End Finishes,4 Bedrooms,3Full Bathrooms,Desirable Floor Plan w/Ground Floor En-Suite,Plus 168 sq.ft. Bonus Room Attached to the Garage,Utilize as a Office/Gym,Stroll to Lincoln Avenue's Shops&Restaurants.New Exterior Paint,New Light Fixtures,Gleaming Hardwood Floors&Hunter Douglas ShadesFormal Living Room w/Box Beam Ceiling, Recessed Lights,Built-In Speakers,Gas Fireplace w/Stone Hearth&Wood Mantel&Hardwood Floors.Formal Dining Room w/New Chandelier.Gourmet Chef's Kitchen Granite Slab Countertops,Island w/Prep Sink,Peninsula Seating,S/S Appliances,Pantry&Breakfast Nook.Great Room w/Gas Fireplace,Custom Built-Ins&Andersen Sliding Glass Door.Master Bedroom w/Huge Walk-In Closet,Plush Carpet&Juliet Balcony.Master Bathroom w/Deep Soaking Tub w/Jets,Walk-In Shower w/Two Shower Heads,Double Vanity&Tile Floors.Professionally Landscaped Backyard,Outdoor Grill w/Sink,Custom Paver Stone Patio,Lush Lawn,New Mulch,Plants&Flowers"
"21","1298000","3","2","House","2219","Carport","2000","553 Minnesota Ave","San Jose","95125","3","0","Charming home close to downtown Willow Glen and the newly renovated 3 Creeks trail. Beautiful hardwood floors, recessed LED lighting and a floor plan that is open to the family room, dining area and kitchen. The remodeled kitchen has a gas range with griddle, slab granite countertops, newer refrigerator and slate flooring. Central A/C keeps the house nice and cool while the ample dual pane windows flood the space with natural light. The garage is converted into a perfect space for a granny unit or office and there is still off street parking for 4 cars or a boat or RV. The front wall has extra sound-proofing. The roof is less than a year old and the majority of the fencing and gates were built in 2020 offering privacy and security. The huge deck off the family room offers the perfect space for entertaining, relaxing and fresh air. The home is only 4 blocks from downtown Willow Glen, close to shopping, freeways and the newly proposed Google campus."
"22","648000","3","2","Condo","1312","Parking garage","2001","1898 Meridian Ave","San Jose","95125","3","0","Come check out this beauty!  This spacious 2-bedroom condo is located in the perfect location.  Close to shopping in Campbell, Willow Glen, The Pruneyard and major commute paths.  The recently updated kitchen with modern countertops give you plenty of space to cook up your favorite meals.  The spacious living room and bedrooms are perfect for relaxing and winding down from the hustle of the Silicon Valley lifestyle.  The master bath has been completely remodeled with a tiled shower and many modern touches.  The grounds include a pool, recreation room, gym and other community amenities.  New windows and a sliding glass door lead to the brand new deck, built in 2020.  It's perfect to enjoy the views of the well-kept grounds.  Overall, this is a wonderful property and we look forward to sharing it with you!"
"23","625000","2","2","Condo","1071","Parking garage","2002","1412 Alma Way","San Jose","95125","3","0","Immaculate newer townhome with high-end finishes and fixtures shows like a model. Located in the back of the private courtyard of a small, luxury development of only 9 townhomes.  3 bd/3,5 ba w optimal open floorplan includes custom built-ins, fully cased windows, high-end audio and included smart TV.  All 3 bedrooms are ensuite, and there is a half bath located on the main (2nd) floor off the living area. First level includes two car garage fully finished with custom cabinetry, overhead storage with easy access around the perimeter of the garage and LED lighting.  Primary bedroom on the first floor has a full bathroom with tub over shower with glass enclosure, and sliding glass doors lead to the private patio area.  From the front door entry, the wrought iron and wood stairway leads to the main living area w ideal open floorplan including large living area, dining area with built-in wine storage, kitchen and half-bath.  The gourmet kitchen boasts granite countertops and custom travertine tile backsplash complemented by white cabinetry with modern hardware.  Enjoy eating at the spacious granite peninsula with bar seating for four for casual meals. High-end stainless-steel appliances including refrigerator are in new condition.  Multiple windows with custom shades fill the area with natural light, including sliding glass doors leading to the covered patio off the living area wg as Weber grill and seating area. Carpeted stairs with wrought iron railing takes you to the third level w full sized side by side laundry closet that includes built-in cabinetry, The second ensuite bedroom includes glass enclosed tub over shower and closet.  Master bedroom suite on the other end of the floor is very spacious with high ceilings, ceiling fan and large walk-in closet w custom organization system. The large bathroom features dual sink vanity, oversized tub with shower with glass enclosure and separate toilet compartment.  WIFI-enabled dual zone central AC and forced-air heating systems are controlled by remote or phone app for convenience."
"24","1358000","4","3","House","2312","Parking garage","2003","2286 Shibley Ave","San Jose","95125","2","0","Charming house on the corner! With its beautiful wood fence, red chimney, and brick pathway leading to the entrance, 501 Willow Street offers remarkable curb appeal. The living room welcomes you with a large feel, streams of natural light & shows off beautiful laminate flooring, a stacked stone fireplace, and recessed lighting. The room opens to the kitchen, which features a large island, sleek countertops, and eat-in kitchen space. The home also offers spacious bedrooms, a relaxing front deck, and a storage basement. This beautiful home could be yours!"
"25","1188000","4","2","House","1527","Carport","2004","785 Malone Rd","San Jose","95125","3","0","CONTRACTORS. HOME BUSINESSES, ADU BUILDERS - THIS IS THE PROJECT YOU HAVE BEEN LOOKING FOR. Big lot on a prime slice of Hamilton Avenue east of Meridian Ave across from the Shopping Center anchored by Safeway Market. Area of multi-million dollar homes and estates. High visibility with a large 9,330 square foot lot that a builder could flip, build custom new home, or modify the existing bungalow and add an ADU with premium rental. Close to downtown Willow Glen or a short drive to downtown Campbell. Call City Hall - ask about possible rezoning to a small business like many in the area or a duplex? Highest and best use is the land and numerous possibilities. Second largest lot with SFR under $2,000,000 in all of Willow Glen. Family trust has owned this rental SFR for decades, no probate, can close quickly so don't let this one slip through your fingers. Campbell Union School District. Close to all city conveniences, commute access and Renaissance in San Jose. This is a great value."
"26","1970000","5","5","House","5500","Carport","2005","2075 Booksin Ave","San Jose","95125","6","0","Beautifully updated Willow Glen Rancher!  Elegant and impeccably maintained kitchen with granite countertops, stainless steel appliances, under mount sink, recessed lighting, glass tile backsplash, and peninsula with additional storage. Dining area opens to family room space.  Additional formal living room with cozy fireplace, recessed lighting, hardwood flooring, and backyard patio access. Primary bedroom with updated ensuite bath.  Double-pane windows.  Well-maintained front yard and nice backyard with paved patio seating area, hot-tub, and low-maintenance landscaping.  Great central location, just 7 min. to vibrant Downtown Willow Glen, 12 min. to Downtown San Jose.  Convenient access to Hwy 87 for commuter ease."
"27","2895000","5","5","House","3368","Carport","2006","2255 Mazzaglia Ave","San Jose","95125","6","0","This home is for the buyer who wants the best in quality, design, and craftsmanship in a single-story home. The footprint of this property is approximately 7200 sq.ft. with 5500 sq.ft. of living space. Featuring 3 Ensuites with walk-in closets and 2 additional bedrooms that share a full bathroom. There are a total of 4 and 1/2 half baths and a full laundry room with built-in cabinets, 5 car garage each with separate entrances for function and convenience. Built in 2018 by NTS Builders who construct homes above and beyond city codes and requirements. Smart home functions allow the homeowner to control every aspect of modern living on their smartphone or through conveniently located I-Pads. Lighting, temperature control, audio/visual, security systems, or any other function in the home. 12 ft ceiling in this single-story home creates very large and comfortable areas for living and entertaining. Located on a 17,662 sq ft lot this home is an entertainer dream home."
"28","998000","2","2","House","1167","Carport","2007","1813 Bird Ave","San Jose","95125","3","0"," Built by Thomas James Homes, this brand new home has been professionally designed, hand crafted to fit your needs, and comes with a full 10 year new home construction warranty.This five bedroom, five and a half bath Spanish style home in Willow Glen presents smooth stucco and barrel roof tile. Just inside, you'll find a powder bath and guest suite with sliding door to the courtyard. Unwind by the fireplace of the great room, which has sliding doors to the courtyard and back yard. The chefs kitchen is host to a butlers pantry, walk in pantry, island with bar seating and eat in dining. A pocket office is adjoined by the mud room with pet shower. Ascend the stairs to discover a loft, three secondary bedrooms and baths, and the laundry room. Unwind in the grand suite, which boasts a spa like bath, including a dual sink vanity, freestanding soaking tub, walk in shower and walk in closet."
"29","795000","2","2","Condo","1071","Parking garage","2009","1874 Huxley Ct","San Jose","95125","3","0","Built in 2009, this exquisite Willow Glen Victorian style home exudes old world charm with contemporary finishes and is located in a cozy community consisting of 11 charming homes. Entering this pristine home, you are greeted by spacious rooms, custom paint, 10 ft. high ceilings, extensive wood molding, beautiful granite faced fireplace, gleaming hardwood floors and an abundance of natural light. The family room with a cozy fireplace opens to a Gourmet kitchen with granite countertops, custom cabinetry and an Italian 5-burner Bertazzoni gas range that will make cooking a delight. Upstairs awaits a Luxurious Master En Suite, complete with wet bar, oversized Walk-In closet with natural lighting and a private balcony. The Elegant Master bathroom contains a claw foot tub and a walk in shower equipped with 2 shower heads. Downstairs with garage access, you will find a 4th bedroom complete with its own private bathroom perfect for in-laws, au pair or a private office."
"30","2748000","6","5","House","4862","Carport","2009","1000 Laura Ville Ln","San Jose","95125","5","0","Don't miss out on this rare opportunity to live in Dry Creek Condominiums! Lovely remodeled 3 Bed, 2Bath condo in the Dry Creek neighborhood of Willow Glen. Features an open floor plan space Fully remodeled kitchen with quartz countertops & backsplash and Stainless steel appliances.  Tile floors in the entry, kitchen and the dining area.  Dual pane windows, private storage unit & assigned covered garage space with secured gates all around the community. Enjoy the sparkling pool with cabana & BBQ area, workout facility w/variety of equipment & game room with pool table, ping pong table also including extra community laundry room. Fabulous location close to Downtown Willow Glen and Downtown Campbell, near major freeways, mass transit & walking distance to variety of grocery store and restaurants."
"31","655000","2","2","Condo","1009","On-street","2019","1853 Almaden Rd","San Jose","95125","1","0","Here's a golden opportunity to own a newly renovated, Willow Glen residence! Driving up, you revel in the new lush, green Landscaping, new surrounding Hardscape, fresh stylish Exterior Painting and high quality Roofing System.  As you enter the home, you find no detail is overlooked. Plush new Carpeting, tiled Fireplace, Crown Molding, cheerful lighting and lots of space grace the expansive Great-room floor plan. The new Kitchen features stylish Stainless Steel finished appliances, elegant Counter Tops, Cabinets and Rich Wood Flooring. After a long day at work, relax in the well appointed Master Suite and new Master Bath featuring decorator Tile, Quartz Counters, New Hardware & Flooring. The beautiful new Hall Bath and Tankless Water Heater make bath time a snap. For hobbies, projects, storage or playtime, the fully finished, Oversized Garage with 8 ft door gives so much opportunity & flexibility. Willow Glen, one of the most desirable neighborhoods in all Calif."
"32","899000","4","4","Townhouse","1888","Carport","2005","2689 Villa Cortona Way","San Jose","95125","3","0","One of the most sought after neighborhoods in Willow Glen! Beautiful ranch style home with traditional charm, minutes to the heart of downtown WG. Large expansive lot, over 10,700 sq ft, professionally landscaped yard with circular driveway & spacious private backyard showcasing an intimate courtyard area. Wonderful floor plan with 4 large bedrooms & 3 full bathrooms. The 4th private bedroom ideal for in-laws bedroom or office. Large Great room with fireplace & french doors situated in the heart of the home, perfect for family entertainment! Expansive dining room & living room with french doors leading to the backyard. Large bright chefs kitchen w/ granite counters, gas burning stove, Sub Zero refrigerator, wine refrigerator & spacious kitchen dining area. Hardwood floors in main living spaces, detailed wainscoting & crown molding throughout. Recent upgrades include new interior paint, new carpet in master, the 4th bedroom and the Great Room. New roof in 2016. A Willow Glen Gem!"
"33","2899000","4","5","House","3400","Carport","1956","1620 Campbell Ave","San Jose","95125","5","0","Luxurious Mediterranean retreat in the heart of Willow Glen! This stunning home offers privacy and elegance with beautifully updated features inside and out. Gourmet chef's kitchen features quartz counters and designer tile backsplash, stainless steel appliances, immaculately maintained cabinetry and extensive storage, and center island with gas cooktop. Kitchen opens to grand living room with additional dining space, hardwood flooring, soaring 30 ft ceilings, and private courtyard access. Upstairs primary bedroom includes a balcony, huge walk-in closet with built-in organization, and opulent spa-like bath with jetted tub, cozy fireplace, and oversized shower. If you are working from home, this house has you covered with a built in office and full gym. Take a staycation in the classically designed backyard with new landscaping, paved patio, Tuscan pergola, built-in BBQ, fire pit, speakers, putting green, koi pond, and hot tub! Ideal location minutes from vibrant downtown Willow Glen."
"34","828888","3","2","House","1147","Parking garage","1985","2950 Mount Clare Dr","San Jose","95148","2","0","Luxury and style will greet you the moment you step through the front door of this beautiful five-bedroom, three-bathroom home. Soaring windows stretch to the ceiling in the open living space, allowing for maximum natural light throughout the day, while a statement fireplace joins the living and dining room and provides the perfect place to relax at the end of the day.  The large and magnificent kitchen features stainless steel appliances with extra bench space on hand to make meal preparation and entertaining an absolute joy. This open-plan layout lends itself to seamless entertaining, perfect for those times friends drop by.  Four bedrooms are situated on the top floor, which is elevated by a grand staircase that stands in the heart of the dwelling Outside, a rear deck awaits along with a fenced yard for those with pets. This fabulous 2,635 sqft single-family home sits on a 10,000 sq ft lot and offers a great view of the city, with top-rated schools just minutes away."
"35","3488000","6","5","House","8200","Carport","2007","4020 Higuera Highland Ln","San Jose","95148","5","0","Remarkable sunsets, tranquil surroundings, and privacy is the life at this grand custom estate. Perfectly positioned & designed, it is truly the essence of luxury with some of the most mesmerizing panoramic views the Bay Area has to offer. This luxurious estate includes a resort-like infinity pool, entertainment areas w/built-in televisions & outdoor bar, 2 BBQ areas, play area, horse stable, or possible guest cottage.  Unparalleled in every detail and amenity, this extraordinary estate encompasses about 8,200 sf of living space (6,427 Building + 1,773 Basement) plus a possible guest house or horse stable with another 1,200 sf.  Featuring a fabulous open floor plan, this home has a grand entry, cathedral ceilings, dramatic iron cast staircase, an exquisite living room, an inviting family room, a chef's dream kitchen, top of the line movie theater, and so much more.  Come live the lifestyle you've been dreaming of in this solar-powered estate with prestigious living and utmost comfort."
"36","418000","2","2","Condo","1223","Parking garage","1969","3493 Valley Vista Dr","San Jose","95148","2","0","HOME SWEET HOME!!! BEAUTIFUL SINGLE FAMILY HOME LOCATED IN PRIME AREA, QUITE NEIGHBORHOOD IN AWARD-WINNING EVERGREEN SCHOOL DISTRICT!!!   STUNNING INSIDE~NEWLY REMODELED KITCHEN WITH GRANITE COUNTER TOP & TILE FLOOR~NEWLY REMODELED BATHROOMS~HIGH VAULTED CEILING~AIR CONDITION~CUSTOM WIRING~RECESSED LIGHTS~NEWER CARPET~PLUS MORE"
"37","2499000","5","4","House","5084","Carport","1990","4017 Higuera Highland Ln","San Jose","95148","3","0","Welcome to a modern single level home in the beautiful Evergreen. This home features high vaulted ceilings, an abundance of natural lighting & an open floor plan, perfect for entertaining. The light & bright living room has high-end laminate flooring, gas insert fireplace, plenty of windows & recess lighting throughout. The kitchen features stainless steel appliances including a Samsung Flex refrigerator, granite countertops & custom-built cabinets. The master bedroom is spacious and offers a bonus room, a remodeled bathroom with a large walk-in shower, porcelain tile, large vanity with his and her sinks, a walk-in closet, & backyard access. All of the bedroom closets have custom made shelving. The backyard is unique and inviting, featuring newly stamped concrete, a covered pergola, a 90-inch projection screen & an organic vegetable garden. Close to the new Costco Business Center, shops & restaurants. Walking distance to award-winning schools! 3D Tour & Video taken w/ previous staging."
"38","249000","2","2","Manufactured","1248","Carport","1977","3307 Pappani Way","San Jose","95148","2","0","You'll love where you'll live! Nested in the Evergreen foothill, this bright and open 3 bedrooms, 2 baths home is move-in ready. 1,361 sf of living space on a large 6,240 sf lot.  Fresh exterior and interior paint.  Tile and laminate flooring throughout.  Dual pane windows.  Central AC and heat. Washer and dryer stay.  Low maintenance back yard with covered patio. Conveniently located near schools, parks, shopping and entertainments.  Easy access to major freeways: 101, 280 and 680.  A great home for family. Do not miss."
